cell_id,region,hour,active_users,traffic_mbps,capacity_mbps,utilization_pct,throughput_mbps,latency_ms,drop_rate_pct,packet_loss_pct,rsrp_dbm,sinr_db,coverage_status,qos_class,distance_km
ADD-02,Addis Ababa,8,28,33.5,100,33.5,95.1,14.8,0.02,0.06,-81.7,17.1,Good,Excellent,1.24
ADD-02,Addis Ababa,9,22,30.2,100,30.2,95.9,15.7,0.0,0.02,-80.6,18.1,Good,Excellent,1.24
ADD-02,Addis Ababa,10,21,23.4,100,23.4,95.7,13.9,0.13,0.07,-83.4,19.3,Good,Excellent,1.24
ADD-02,Addis Ababa,11,24,30.5,100,30.5,91.4,12.3,0.0,0.09,-80.9,16.9,Good,Excellent,1.24
ADD-02,Addis Ababa,12,20,31.1,100,31.1,96.4,15.1,0.05,0.01,-79.2,18.0,Good,Excellent,1.24
ADD-02,Addis Ababa,13,30,44.4,100,44.4,97.4,12.4,0.12,0.1,-86.0,17.3,Fair,Good,1.24
ADD-02,Addis Ababa,14,28,39.1,100,39.1,97.0,15.6,0.0,0.0,-81.9,17.0,Good,Excellent,1.24
ADD-02,Addis Ababa,15,22,32.4,100,32.4,96.1,18.6,0.17,0.02,-83.0,18.3,Good,Excellent,1.24
ADD-02,Addis Ababa,16,37,42.6,100,42.6,96.7,15.5,0.0,0.0,-81.4,20.2,Good,Excellent,1.24
ADD-02,Addis Ababa,17,27,31.6,100,31.6,96.0,16.3,0.0,0.0,-79.3,19.2,Good,Excellent,1.24
ADD-02,Addis Ababa,18,50,83.9,100,83.9,85.5,35.2,0.54,0.23,-81.6,16.9,Good,Good,1.24
ADD-02,Addis Ababa,19,46,63.1,100,63.1,94.8,21.7,0.0,0.06,-79.5,20.7,Good,Excellent,1.24
ADD-02,Addis Ababa,20,36,47.2,100,47.2,95.7,21.6,0.14,0.0,-83.8,18.2,Good,Excellent,1.24
ADD-02,Addis Ababa,21,42,69.2,100,69.2,96.4,23.9,0.0,0.0,-80.5,20.2,Good,Excellent,1.24
ADD-02,Addis Ababa,22,27,35.9,100,35.9,91.8,14.2,0.0,0.0,-82.3,19.9,Good,Excellent,1.24
ADD-02,Addis Ababa,23,33,45.2,100,45.2,97.1,20.6,0.0,0.0,-85.1,18.8,Fair,Good,1.24
ADD-03,Addis Ababa,0,20,31.8,100,31.8,89.8,14.0,0.09,0.13,-78.6,20.0,Good,Excellent,2.95
ADD-03,Addis Ababa,1,18,25.8,100,25.8,90.9,21.9,0.0,0.04,-79.0,17.3,Good,Excellent,2.95
ADD-03,Addis Ababa,2,17,26.8,100,26.8,95.3,14.6,0.0,0.0,-76.9,17.8,Good,Excellent,2.95
ADD-03,Addis Ababa,3,17,24.2,100,24.2,98.2,13.6,0.08,0.0,-74.4,16.3,Good,Excellent,2.95
ADD-03,Addis Ababa,4,16,22.5,100,22.5,96.2,14.4,0.0,0.0,-79.4,18.5,Good,Excellent,2.95
ADD-03,Addis Ababa,5,18,29.5,100,29.5,93.7,15.2,0.29,0.09,-80.3,16.8,Good,Excellent,2.95
ADD-03,Addis Ababa,6,19,25.2,100,25.2,95.0,16.9,0.0,0.0,-79.1,16.8,Good,Excellent,2.95
ADD-03,Addis Ababa,7,24,36.8,100,36.8,95.9,18.0,0.0,0.0,-78.6,16.8,Good,Excellent,2.95
ADD-03,Addis Ababa,8,17,20.6,100,20.6,95.2,13.4,0.0,0.0,-76.9,18.3,Good,Excellent,2.95
ADD-03,Addis Ababa,9,23,34.3,100,34.3,95.8,20.9,0.22,0.24,-73.9,17.1,Good,Excellent,2.95
ADD-03,Addis Ababa,10,21,34.4,100,34.4,90.8,15.9,0.0,0.0,-82.6,18.9,Good,Excellent,2.95
ADD-03,Addis Ababa,11,21,24.2,100,24.2,98.6,15.8,0.08,0.09,-77.8,18.2,Good,Excellent,2.95
ADD-03,Addis Ababa,12,21,33.7,100,33.7,95.4,21.1,0.15,0.11,-81.5,19.0,Good,Excellent,2.95
ADD-03,Addis Ababa,13,15,24.9,100,24.9,93.5,9.6,0.3,0.26,-77.6,15.5,Good,Excellent,2.95
ADD-03,Addis Ababa,14,20,23.1,100,23.1,97.6,17.4,0.0,0.12,-79.7,16.5,Good,Excellent,2.95
ADD-03,Addis Ababa,15,23,38.1,100,38.1,96.5,17.9,0.0,0.04,-78.2,18.7,Good,Excellent,2.95
ADD-03,Addis Ababa,16,29,47.7,100,47.7,94.0,21.7,0.08,0.05,-77.7,15.4,Good,Excellent,2.95
ADD-03,Addis Ababa,17,41,55.9,100,55.9,96.4,9.0,0.0,0.11,-83.6,19.5,Good,Excellent,2.95
ADD-03,Addis Ababa,18,39,59.1,100,59.1,96.7,19.0,0.0,0.03,-75.8,18.0,Good,Excellent,2.95
ADD-03,Addis Ababa,19,38,53.1,100,53.1,90.5,18.0,0.34,0.04,-80.4,18.4,Good,Excellent,2.95
ADD-03,Addis Ababa,20,42,58.5,100,58.5,95.1,15.6,0.26,0.13,-76.4,17.3,Good,Excellent,2.95
ADD-03,Addis Ababa,21,40,67.0,100,67.0,91.6,20.5,0.11,0.06,-82.1,17.0,Good,Excellent,2.95
ADD-03,Addis Ababa,22,27,33.8,100,33.8,97.4,18.0,0.0,0.0,-78.1,20.3,Good,Excellent,2.95
ADD-03,Addis Ababa,23,20,32.1,100,32.1,95.8,14.8,0.0,0.0,-80.9,17.3,Good,Excellent,2.95
ADD-04,Addis Ababa,0,10,15.8,75,21.1,56.3,31.6,1.65,0.51,-112.1,9.0,Gap,Poor,7.18
ADD-04,Addis Ababa,1,16,21.9,75,29.2,49.4,31.5,1.71,0.65,-114.6,11.5,Gap,Poor,7.18
ADD-04,Addis Ababa,2,17,18.8,75,25.1,51.7,32.5,1.95,0.7,-116.2,12.2,Gap,Poor,7.18
ADD-04,Addis Ababa,3,18,27.9,75,37.2,54.4,29.2,1.62,0.52,-113.6,11.9,Gap,Poor,7.18
ADD-04,Addis Ababa,4,18,28.2,75,37.6,53.6,25.0,1.14,0.42,-111.0,8.8,Gap,Poor,7.18
ADD-04,Addis Ababa,5,25,31.6,75,42.1,55.0,37.0,2.08,0.64,-116.5,14.0,Gap,Poor,7.18
ADD-04,Addis Ababa,6,22,32.8,75,43.7,56.2,29.0,1.81,0.65,-114.8,11.5,Gap,Poor,7.18
ADD-04,Addis Ababa,7,20,24.5,75,32.7,57.0,26.4,1.66,0.57,-112.7,11.9,Gap,Poor,7.18
ADD-04,Addis Ababa,8,27,33.9,75,45.2,59.2,24.7,1.52,0.36,-111.1,10.1,Gap,Poor,7.18
ADD-04,Addis Ababa,9,23,38.4,75,51.2,54.1,35.5,1.84,0.66,-115.2,12.3,Gap,Poor,7.18
ADD-04,Addis Ababa,10,22,27.7,75,36.9,58.0,26.2,0.92,0.33,-109.3,14.2,Poor,Fair,7.18
ADD-04,Addis Ababa,11,19,31.3,75,41.7,56.4,25.8,1.78,0.66,-113.6,10.6,Gap,Poor,7.18
ADD-04,Addis Ababa,12,17,20.1,75,26.8,56.2,29.9,1.23,0.5,-110.4,15.2,Gap,Poor,7.18
ADD-04,Addis Ababa,13,20,22.6,75,30.1,56.5,28.0,1.45,0.39,-112.9,11.2,Gap,Poor,7.18
ADD-04,Addis Ababa,14,21,32.2,75,42.9,60.4,29.3,1.54,0.55,-112.7,9.7,Gap,Poor,7.18
ADD-04,Addis Ababa,15,24,30.2,75,40.3,59.3,31.9,2.01,0.65,-115.3,11.9,Gap,Poor,7.18
ADD-04,Addis Ababa,16,25,38.4,75,51.2,55.8,26.5,1.23,0.47,-109.7,13.0,Poor,Fair,7.18
ADD-04,Addis Ababa,17,42,61.1,75,81.5,47.7,53.7,2.29,0.69,-115.6,10.3,Gap,Poor,7.18
ADD-04,Addis Ababa,18,51,80.8,75,107.7,36.9,73.8,3.07,1.07,-111.2,11.3,Gap,Poor,7.18
ADD-04,Addis Ababa,19,55,79.2,75,105.6,34.4,76.2,3.81,1.34,-116.4,10.1,Gap,Poor,7.18
ADD-04,Addis Ababa,20,39,43.8,75,58.4,50.5,37.5,2.01,0.71,-117.1,12.0,Gap,Poor,7.18
ADD-04,Addis Ababa,21,35,55.1,75,73.5,55.8,44.2,1.42,0.58,-111.7,10.1,Gap,Poor,7.18
ADD-04,Addis Ababa,22,38,52.7,75,70.3,53.4,33.6,1.31,0.52,-112.0,13.0,Gap,Poor,7.18
ADD-04,Addis Ababa,23,21,26.7,75,35.6,53.3,33.7,2.18,0.68,-116.2,10.3,Gap,Poor,7.18
ADD-05,Addis Ababa,0,14,23.7,50,47.4,47.3,16.2,0.17,0.03,-72.5,19.4,Good,Excellent,1.55
ADD-05,Addis Ababa,1,14,16.4,50,32.8,48.4,17.5,0.0,0.05,-73.3,17.2,Good,Excellent,1.55
ADD-05,Addis Ababa,2,17,24.1,50,48.2,47.8,16.0,0.0,0.08,-72.8,15.4,Good,Excellent,1.55
ADD-05,Addis Ababa,3,18,20.2,50,40.4,47.1,10.7,0.0,0.0,-78.0,16.7,Good,Excellent,1.55
ADD-05,Addis Ababa,4,23,29.2,50,58.4,48.6,16.1,0.01,0.09,-73.5,18.2,Good,Excellent,1.55
ADD-05,Addis Ababa,5,23,34.4,50,68.8,47.8,29.1,0.0,0.04,-70.6,18.2,Good,Excellent,1.55
ADD-05,Addis Ababa,6,15,19.5,50,39.0,47.9,15.5,0.0,0.04,-72.3,17.1,Good,Excellent,1.55
ADD-05,Addis Ababa,7,26,41.4,50,82.8,41.4,39.1,0.57,0.05,-72.5,16.7,Good,Good,1.55
ADD-05,Addis Ababa,8,17,18.8,50,37.6,49.9,15.3,0.0,0.0,-73.5,18.3,Good,Excellent,1.55
ADD-05,Addis Ababa,9,19,31.7,50,63.4,47.0,24.6,0.0,0.15,-72.0,17.1,Good,Excellent,1.55
ADD-05,Addis Ababa,10,25,33.3,50,66.6,47.3,18.3,0.01,0.1,-70.5,17.3,Good,Excellent,1.55
ADD-05,Addis Ababa,11,26,41.7,50,83.4,43.7,37.8,0.45,0.28,-74.6,18.0,Good,Good,1.55
ADD-05,Addis Ababa,12,18,27.6,50,55.2,48.3,18.1,0.0,0.21,-74.7,19.0,Good,Excellent,1.55
ADD-05,Addis Ababa,13,22,26.9,50,53.8,48.5,15.2,0.25,0.21,-69.5,14.3,Good,Excellent,1.55
ADD-05,Addis Ababa,14,20,24.7,50,49.4,49.3,10.8,0.04,0.01,-72.1,16.5,Good,Excellent,1.55
ADD-05,Addis Ababa,15,22,33.2,50,66.4,49.3,25.6,0.04,0.05,-72.3,17.9,Good,Excellent,1.55
ADD-05,Addis Ababa,16,37,43.0,50,86.0,39.0,39.1,0.84,0.24,-73.7,16.8,Good,Good,1.55
ADD-05,Addis Ababa,17,50,71.0,50,142.0,23.6,86.9,4.07,1.44,-74.1,13.9,Good,Poor,1.55
ADD-05,Addis Ababa,18,44,64.6,50,129.2,27.1,79.8,3.33,1.27,-72.2,13.0,Good,Poor,1.55
ADD-05,Addis Ababa,19,44,63.0,50,126.0,26.7,75.3,3.03,0.96,-70.1,14.2,Good,Poor,1.55
ADD-05,Addis Ababa,20,47,70.0,50,140.0,22.3,81.9,3.99,1.43,-67.8,11.8,Good,Poor,1.55
ADD-05,Addis Ababa,21,37,44.3,50,88.6,39.3,41.7,0.61,0.18,-71.9,13.5,Good,Good,1.55
ADD-05,Addis Ababa,22,32,51.3,50,102.6,38.9,56.6,1.66,0.71,-70.5,15.0,Good,Fair,1.55
ADD-05,Addis Ababa,23,28,40.7,50,81.4,46.5,40.2,0.47,0.26,-73.2,16.5,Good,Good,1.55
ADD-06,Addis Ababa,0,13,19.2,50,38.4,41.5,26.7,0.8,0.23,-107.3,14.3,Poor,Fair,8.48
ADD-06,Addis Ababa,1,26,41.9,50,83.8,34.1,52.3,1.34,0.49,-109.6,11.9,Poor,Fair,8.48
ADD-06,Addis Ababa,2,18,24.0,50,48.0,38.8,28.1,1.05,0.41,-108.8,15.0,Poor,Fair,8.48
ADD-06,Addis Ababa,3,14,16.8,50,33.6,38.2,32.2,1.37,0.37,-110.6,13.2,Gap,Poor,8.48
ADD-06,Addis Ababa,4,19,22.8,50,45.6,41.7,26.6,0.96,0.36,-106.7,16.9,Poor,Fair,8.48
ADD-06,Addis Ababa,5,14,17.7,50,35.4,41.1,21.6,0.67,0.27,-105.9,13.0,Poor,Fair,8.48
ADD-06,Addis Ababa,6,19,22.6,50,45.2,44.5,14.5,0.79,0.27,-103.9,15.0,Poor,Fair,8.48
ADD-06,Addis Ababa,7,16,20.6,50,41.2,40.7,24.5,1.12,0.38,-108.0,14.5,Poor,Fair,8.48
ADD-06,Addis Ababa,8,18,28.9,50,57.8,46.3,24.3,0.71,0.33,-105.6,14.6,Poor,Fair,8.48
ADD-06,Addis Ababa,9,26,32.0,50,64.0,38.4,31.2,1.15,0.38,-108.4,15.9,Poor,Fair,8.48
ADD-06,Addis Ababa,10,27,41.7,50,83.4,38.7,42.6,1.37,0.54,-106.5,14.2,Poor,Fair,8.48
ADD-06,Addis Ababa,11,25,39.8,50,79.6,35.6,37.3,0.83,0.41,-105.7,11.8,Poor,Fair,8.48
ADD-06,Addis Ababa,12,20,26.5,50,53.0,42.0,28.6,0.43,0.12,-102.4,16.4,Poor,Fair,8.48
ADD-06,Addis Ababa,13,21,23.4,50,46.8,42.8,21.3,1.37,0.54,-108.5,11.1,Poor,Fair,8.48
ADD-06,Addis Ababa,14,27,41.3,50,82.6,38.1,43.6,0.86,0.28,-104.3,13.8,Poor,Fair,8.48
ADD-06,Addis Ababa,15,28,35.6,50,71.2,38.3,34.3,0.69,0.3,-103.8,13.5,Poor,Fair,8.48
ADD-06,Addis Ababa,16,29,34.0,50,68.0,42.2,27.0,0.48,0.19,-104.8,12.9,Poor,Fair,8.48
ADD-06,Addis Ababa,17,40,67.1,50,134.2,19.4,89.3,3.97,1.4,-102.9,9.5,Poor,Poor,8.48
ADD-06,Addis Ababa,18,44,71.7,50,143.4,12.0,106.3,4.82,1.63,-107.5,6.8,Poor,Poor,8.48
ADD-06,Addis Ababa,19,49,78.1,50,156.2,13.9,105.8,5.44,1.8,-102.0,6.9,Poor,Poor,8.48
ADD-06,Addis Ababa,20,36,58.2,50,116.4,25.0,75.4,3.39,1.36,-106.4,10.0,Poor,Poor,8.48
ADD-06,Addis Ababa,21,34,49.5,50,99.0,32.4,57.0,1.86,0.5,-105.3,11.9,Poor,Fair,8.48
ADD-06,Addis Ababa,22,37,62.7,50,125.4,21.9,82.0,3.5,1.14,-104.7,12.3,Poor,Poor,8.48
ADD-06,Addis Ababa,23,24,27.4,50,54.8,39.1,28.2,1.07,0.38,-107.6,13.6,Poor,Fair,8.48
ORO-01,Oromia,0,16,18.1,100,18.1,95.0,16.3,0.13,0.0,-88.2,16.0,Fair,Good,2.88
ORO-01,Oromia,1,18,21.6,100,21.6,90.3,14.5,0.0,0.06,-88.3,15.3,Fair,Good,2.88
ORO-01,Oromia,2,18,22.6,100,22.6,95.3,23.4,0.0,0.0,-84.0,18.5,Good,Excellent,2.88
ORO-01,Oromia,3,15,19.6,100,19.6,93.9,18.4,0.07,0.0,-84.8,15.6,Good,Excellent,2.88
ORO-01,Oromia,4,18,24.0,100,24.0,99.4,18.0,0.06,0.18,-90.5,17.9,Fair,Good,2.88
ORO-01,Oromia,5,20,24.5,100,24.5,96.4,16.4,0.0,0.21,-86.1,19.5,Fair,Good,2.88
ORO-01,Oromia,6,17,20.1,100,20.1,96.0,19.0,0.0,0.0,-84.3,17.8,Good,Excellent,2.88
ORO-01,Oromia,7,21,24.1,100,24.1,96.3,16.4,0.0,0.05,-85.8,18.5,Fair,Good,2.88
ORO-01,Oromia,8,28,31.1,100,31.1,97.3,10.0,0.0,0.0,-88.6,19.9,Fair,Good,2.88
ORO-01,Oromia,9,23,33.8,100,33.8,93.6,18.6,0.08,0.0,-86.2,15.4,Fair,Good,2.88
ORO-01,Oromia,10,24,29.7,100,29.7,96.0,12.9,0.07,0.08,-86.5,16.9,Fair,Good,2.88
ORO-01,Oromia,11,25,37.3,100,37.3,92.4,15.8,0.06,0.01,-84.1,14.7,Good,Excellent,2.88
ORO-01,Oromia,12,18,24.3,100,24.3,93.0,17.7,0.0,0.08,-84.1,20.1,Good,Excellent,2.88
ORO-01,Oromia,13,26,31.7,100,31.7,95.0,22.7,0.0,0.0,-88.0,16.9,Fair,Good,2.88
ORO-01,Oromia,14,20,31.7,100,31.7,96.0,15.7,0.07,0.04,-82.7,18.5,Good,Excellent,2.88
ORO-01,Oromia,15,33,41.8,100,41.8,96.2,17.5,0.0,0.0,-85.1,18.2,Fair,Good,2.88
ORO-01,Oromia,16,32,52.3,100,52.3,93.8,15.8,0.16,0.1,-82.7,17.8,Good,Excellent,2.88
ORO-01,Oromia,17,30,42.2,100,42.2,92.8,10.7,0.19,0.08,-86.6,14.6,Fair,Good,2.88
ORO-01,Oromia,18,31,35.6,100,35.6,93.6,18.1,0.0,0.0,-82.8,18.1,Good,Excellent,2.88
ORO-01,Oromia,19,60,98.2,100,98.2,73.2,50.2,1.52,0.53,-86.6,15.2,Fair,Fair,2.88
ORO-01,Oromia,20,43,51.3,100,51.3,96.7,9.6,0.0,0.0,-86.7,18.3,Fair,Good,2.88
ORO-01,Oromia,21,42,46.5,100,46.5,95.6,11.0,0.0,0.05,-83.3,17.5,Good,Excellent,2.88
ORO-01,Oromia,22,34,38.5,100,38.5,95.6,10.8,0.0,0.03,-82.4,16.8,Good,Excellent,2.88
ORO-01,Oromia,23,30,50.4,100,50.4,93.1,10.7,0.12,0.11,-87.6,17.9,Fair,Good,2.88
ORO-02,Oromia,0,18,21.5,100,21.5,96.7,13.2,0.19,0.03,-78.1,18.0,Good,Excellent,2.76
ORO-02,Oromia,1,13,20.0,100,20.0,97.4,14.2,0.0,0.0,-80.2,18.7,Good,Excellent,2.76
ORO-02,Oromia,2,19,29.4,100,29.4,94.1,13.5,0.0,0.0,-80.8,16.3,Good,Excellent,2.76
ORO-02,Oromia,3,18,24.3,100,24.3,93.9,23.7,0.0,0.01,-80.9,19.9,Good,Excellent,2.76
ORO-02,Oromia,4,18,25.9,100,25.9,93.8,18.5,0.0,0.1,-74.0,19.4,Good,Excellent,2.76
ORO-02,Oromia,5,12,15.6,100,15.6,95.2,20.4,0.0,0.0,-76.0,19.4,Good,Excellent,2.76
ORO-02,Oromia,6,17,19.6,100,19.6,95.4,17.7,0.28,0.01,-76.5,16.0,Good,Excellent,2.76
ORO-02,Oromia,7,24,32.3,100,32.3,98.8,20.6,0.0,0.0,-78.4,19.6,Good,Excellent,2.76
ORO-02,Oromia,8,21,23.4,100,23.4,91.2,16.5,0.15,0.04,-78.7,19.2,Good,Excellent,2.76
ORO-02,Oromia,9,28,44.3,100,44.3,94.9,21.3,0.25,0.05,-80.1,13.7,Good,Excellent,2.76
ORO-02,Oromia,10,26,38.1,100,38.1,95.7,16.4,0.0,0.0,-76.7,17.1,Good,Excellent,2.76
ORO-02,Oromia,11,18,28.0,100,28.0,95.0,13.8,0.0,0.07,-74.3,17.6,Good,Excellent,2.76
ORO-02,Oromia,12,19,21.1,100,21.1,96.4,16.3,0.0,0.0,-77.0,18.1,Good,Excellent,2.76
ORO-02,Oromia,13,18,30.4,100,30.4,95.6,11.9,0.07,0.02,-75.8,16.1,Good,Excellent,2.76
ORO-02,Oromia,14,25,29.2,100,29.2,96.3,14.7,0.15,0.27,-78.5,17.2,Good,Excellent,2.76
ORO-02,Oromia,15,31,47.3,100,47.3,92.9,8.0,0.07,0.1,-79.4,18.1,Good,Excellent,2.76
ORO-02,Oromia,16,33,49.2,100,49.2,97.8,16.2,0.0,0.0,-79.1,18.1,Good,Excellent,2.76
ORO-02,Oromia,17,44,55.2,100,55.2,95.2,20.9,0.05,0.0,-78.6,16.6,Good,Excellent,2.76
ORO-02,Oromia,18,37,62.6,100,62.6,95.2,21.0,0.0,0.0,-77.7,16.9,Good,Excellent,2.76
ORO-02,Oromia,19,47,62.4,100,62.4,96.8,16.2,0.28,0.18,-77.3,15.8,Good,Excellent,2.76
ORO-02,Oromia,20,48,79.2,100,79.2,90.5,35.2,0.38,0.1,-80.3,17.4,Good,Good,2.76
ORO-02,Oromia,21,48,81.1,100,81.1,85.3,36.3,0.68,0.15,-78.3,16.5,Good,Good,2.76
ORO-02,Oromia,22,38,63.9,100,63.9,97.3,23.8,0.0,0.0,-77.0,17.9,Good,Excellent,2.76
ORO-02,Oromia,23,28,45.8,100,45.8,95.7,15.1,0.03,0.12,-77.1,17.5,Good,Excellent,2.76
ORO-03,Oromia,0,15,23.9,150,15.9,141.6,15.1,0.04,0.0,-68.1,19.6,Good,Excellent,3.07
ORO-03,Oromia,1,16,24.7,150,16.5,146.4,11.1,0.12,0.09,-67.3,16.2,Good,Excellent,3.07
ORO-03,Oromia,2,20,22.4,150,14.9,140.7,17.5,0.13,0.02,-69.3,18.4,Good,Excellent,3.07
ORO-03,Oromia,3,14,16.0,150,10.7,143.2,16.7,0.1,0.0,-69.4,20.2,Good,Excellent,3.07
ORO-03,Oromia,4,18,19.8,150,13.2,139.9,14.3,0.0,0.0,-69.1,16.3,Good,Excellent,3.07
ORO-03,Oromia,5,17,23.6,150,15.7,143.3,13.9,0.13,0.09,-68.4,17.5,Good,Excellent,3.07
ORO-03,Oromia,6,19,27.0,150,18.0,141.7,15.2,0.0,0.0,-70.0,21.1,Good,Excellent,3.07
ORO-03,Oromia,7,18,20.6,150,13.7,141.2,16.4,0.0,0.0,-66.6,16.7,Good,Excellent,3.07
ORO-03,Oromia,8,23,29.2,150,19.5,143.2,20.2,0.0,0.06,-71.8,17.3,Good,Excellent,3.07
ORO-03,Oromia,9,20,30.9,150,20.6,141.5,16.7,0.0,0.07,-69.4,18.0,Good,Excellent,3.07
ORO-03,Oromia,10,18,21.6,150,14.4,145.3,19.3,0.0,0.0,-65.1,17.6,Good,Excellent,3.07
ORO-03,Oromia,11,19,26.3,150,17.5,144.1,16.6,0.0,0.0,-66.3,17.7,Good,Excellent,3.07
ORO-03,Oromia,12,20,29.5,150,19.7,147.5,13.9,0.17,0.07,-73.8,15.8,Good,Excellent,3.07
ORO-03,Oromia,13,26,35.8,150,23.9,141.5,15.7,0.12,0.0,-71.5,17.5,Good,Excellent,3.07
ORO-03,Oromia,14,21,29.8,150,19.9,142.4,14.2,0.22,0.02,-67.8,19.5,Good,Excellent,3.07
ORO-03,Oromia,15,34,42.7,150,28.5,143.9,17.3,0.0,0.05,-70.9,19.5,Good,Excellent,3.07
ORO-03,Oromia,16,36,53.9,150,35.9,144.3,16.3,0.0,0.0,-67.8,16.8,Good,Excellent,3.07
ORO-03,Oromia,17,43,64.0,150,42.7,142.6,23.6,0.0,0.0,-66.5,18.5,Good,Excellent,3.07
ORO-03,Oromia,18,45,63.8,150,42.5,137.6,20.7,0.0,0.0,-67.0,19.4,Good,Excellent,3.07
ORO-03,Oromia,19,54,66.4,150,44.3,142.2,14.1,0.0,0.09,-65.3,17.8,Good,Excellent,3.07
ORO-03,Oromia,20,32,51.7,150,34.5,140.6,9.5,0.22,0.11,-71.4,18.7,Good,Excellent,3.07
ORO-03,Oromia,21,30,33.2,150,22.1,143.7,8.8,0.0,0.0,-68.9,17.9,Good,Excellent,3.07
ORO-03,Oromia,22,35,54.5,150,36.3,137.8,17.0,0.07,0.13,-68.6,18.6,Good,Excellent,3.07
ORO-03,Oromia,23,21,29.8,150,19.9,140.6,16.4,0.0,0.01,-67.7,19.7,Good,Excellent,3.07
